Date,Month,Year,Total VMT (Million),Year To Date VMT (Million),Moving 12-Month VMT (Million),VMT Change Rate(Monthly),VMT Change Rate (Annually)
01/01/1970,Jan,1970,80173.109,80173.109,,,
02/01/1970,Feb,1970,77441.597,157614.706,,,
03/01/1970,Mar,1970,90222.618,247837.324,,,
04/01/1970,Apr,1970,89956.476,337793.8,,,
05/01/1970,May,1970,97971.648,435765.448,,,
06/01/1970,Jun,1970,100035.011,535800.459,,,
07/01/1970,Jul,1970,106392.058,642192.517,,,
08/01/1970,Aug,1970,106968.877,749161.394,,,
09/01/1970,Sep,1970,95254.403,844415.797,,,
10/01/1970,Oct,1970,96317.358,940733.155,,,
11/01/1970,Nov,1970,89683.577,1030416.732,,,
12/01/1970,Dec,1970,89910.802,1120327.534,,,
01/01/1971,Jan,1971,85336.446,85336.446,,,
02/01/1971,Feb,1971,80118.456,165454.902,,,
03/01/1971,Mar,1971,92974.406,258429.308,,,
04/01/1971,Apr,1971,98106.339,356535.647,,,
05/01/1971,May,1971,103654.512,460190.159,,,
06/01/1971,Jun,1971,105432.693,565622.852,,,
07/01/1971,Jul,1971,112465.787,678088.639,,,
08/01/1971,Aug,1971,112642.26,790730.899,,,
09/01/1971,Sep,1971,101289.857,892020.756,,,
10/01/1971,Oct,1971,102524.589,994545.345,,,
11/01/1971,Nov,1971,95555.073,1090100.418,,,
12/01/1971,Dec,1971,95515.222,1185615.64,,,
01/01/1972,Jan,1972,92465.283,92465.283,,,
02/01/1972,Feb,1972,88272.34,180737.623,,,
03/01/1972,Mar,1972,102926.434,283664.057,,,
04/01/1972,Apr,1972,103238.05,386902.107,,,
05/01/1972,May,1972,110944.995,497847.102,,,
06/01/1972,Jun,1972,113265.334,611112.436,,,
07/01/1972,Jul,1972,118594.227,729706.663,,,
08/01/1972,Aug,1972,119912.7,849619.363,,,
09/01/1972,Sep,1972,108072.341,957691.704,,,
10/01/1972,Oct,1972,108840.958,1066532.662,,,
11/01/1972,Nov,1972,100791.177,1167323.839,,,
12/01/1972,Dec,1972,101039.655,1268363.494,,,
01/01/1973,Jan,1973,96664.351,96664.351,,,
02/01/1973,Feb,1973,92566.617,189230.968,,,
03/01/1973,Mar,1973,107490.357,296721.325,,,
04/01/1973,Apr,1973,108119.79,404841.115,,,
05/01/1973,May,1973,114818.524,519659.639,,,
06/01/1973,Jun,1973,115858.615,635518.254,,,
07/01/1973,Jul,1973,121684.755,757203.009,,,
08/01/1973,Aug,1973,124426.407,881629.416,,,
09/01/1973,Sep,1973,110331.665,991961.081,,,
10/01/1973,Oct,1973,113089.098,1105050.179,,,
11/01/1973,Nov,1973,104380.706,1209430.885,,,
12/01/1973,Dec,1973,98856.39,1308287.275,,,
01/01/1974,Jan,1974,95029.955,95029.955,,,
02/01/1974,Feb,1974,86425.87,181455.825,,,
03/01/1974,Mar,1974,100736.488,282192.313,,,
04/01/1974,Apr,1974,104578.888,386771.201,,,
05/01/1974,May,1974,112166.502,498937.703,,,
06/01/1974,Jun,1974,113888.087,612825.79,,,
07/01/1974,Jul,1974,120889.635,733715.425,,,
08/01/1974,Aug,1974,124070.131,857785.556,,,
09/01/1974,Sep,1974,109125.064,966910.62,,,
10/01/1974,Oct,1974,112571.874,1079482.494,,,
11/01/1974,Nov,1974,105079.46,1184561.954,,,
12/01/1974,Dec,1974,105082.501,1289644.455,,,
01/01/1975,Jan,1975,98342.387,98342.387,,,
02/01/1975,Feb,1975,91302.784,189645.171,,,
03/01/1975,Mar,1975,106070.049,295715.22,,,
04/01/1975,Apr,1975,107132.73,402847.95,,,
05/01/1975,May,1975,116658.743,519506.693,,,
06/01/1975,Jun,1975,118387.857,637894.55,,,
07/01/1975,Jul,1975,124493.35,762387.9,,,
08/01/1975,Aug,1975,126102.685,888490.585,,,
09/01/1975,Sep,1975,111398.756,999889.341,,,
10/01/1975,Oct,1975,115249.662,1115139.003,,,
11/01/1975,Nov,1975,106989.59,1222128.593,,,
12/01/1975,Dec,1975,107944.783,1330073.376,,,
01/01/1976,Jan,1976,102460.083,102460.083,,,
02/01/1976,Feb,1976,98527.691,200987.774,,,
03/01/1976,Mar,1976,114283.743,315271.517,,,
04/01/1976,Apr,1976,117013.716,432285.233,,,
05/01/1976,May,1976,123278.412,555563.645,,,
06/01/1976,Jun,1976,124127.938,679691.583,,,
07/01/1976,Jul,1976,130890.541,810582.124,,,
08/01/1976,Aug,1976,131913.069,942495.193,,,
09/01/1976,Sep,1976,119431.11,1061926.303,,,
10/01/1976,Oct,1976,121209.85,1183136.153,,,
11/01/1976,Nov,1976,112996.156,1296132.309,,,
12/01/1976,Dec,1976,113030.074,1409162.383,,,
01/01/1977,Jan,1977,102445.094,102445.094,,,
02/01/1977,Feb,1977,102415.759,204860.853,,,
03/01/1977,Mar,1977,119960.116,324820.969,,,
04/01/1977,Apr,1977,121513.181,446334.15,,,
05/01/1977,May,1977,128883.61,575217.76,,,
06/01/1977,Jun,1977,129320.862,704538.622,,,
07/01/1977,Jul,1977,136198.628,840737.25,,,
08/01/1977,Aug,1977,136336.795,977074.045,,,
09/01/1977,Sep,1977,124203.306,1101277.351,,,
10/01/1977,Oct,1977,127387.603,1228664.954,,,
11/01/1977,Nov,1977,118486.079,1347151.033,,,
12/01/1977,Dec,1977,116256.638,1463407.671,,,
01/01/1978,Jan,1978,109837.753,109837.753,,,
02/01/1978,Feb,1978,107017.565,216855.318,,,
03/01/1978,Mar,1978,125034.824,341890.142,,,
04/01/1978,Apr,1978,122740.721,464630.863,,,
05/01/1978,May,1978,134426.516,599057.379,,,
06/01/1978,Jun,1978,138882.993,737940.372,,,
07/01/1978,Jul,1978,148209.193,886149.565,,,
08/01/1978,Aug,1978,149461.33,1035610.895,,,
09/01/1978,Sep,1978,131385.011,1166995.906,,,
10/01/1978,Oct,1978,132929.942,1299925.848,,,
11/01/1978,Nov,1978,123690.222,1423616.07,,,
12/01/1978,Dec,1978,124595.336,1548211.406,,,
01/01/1979,Jan,1979,114354.0,114354.0,1552727659.0,,
02/01/1979,Feb,1979,109650.0,224004.0,1555360219.0,0.17,
03/01/1979,Mar,1979,131406.0,355410.0,1561731528.0,0.41,
04/01/1979,Apr,1979,129539.0,484950.0,1568530057.0,0.44,
05/01/1979,May,1979,132394.0,617344.0,1566497586.0,-0.13,
06/01/1979,Jun,1979,131192.0,748536.0,1558806941.0,-0.49,
07/01/1979,Jul,1979,134853.0,883389.0,1545451070.0,-0.86,
08/01/1979,Aug,1979,139942.0,1023331.0,1535931300.0,-0.62,
09/01/1979,Sep,1979,127576.0,1150907.0,1532122455.0,-0.25,
10/01/1979,Oct,1979,131619.0,1282526.0,1530811.0,-99.9,
11/01/1979,Nov,1979,123381.0,1405906.0,1530502.0,-0.02,
12/01/1979,Dec,1979,123226.0,1529132.0,1529132.0,-0.09,
01/01/1980,Jan,1980,116462.0,116462.0,1531241.0,0.14,-99.9
02/01/1980,Feb,1980,107338.0,223800.0,1528928.0,-0.15,-99.9
03/01/1980,Mar,1980,125179.0,348980.0,1522702.0,-0.41,-99.9
04/01/1980,Apr,1980,125698.0,474678.0,1518861.0,-0.25,-99.9
05/01/1980,May,1980,131269.0,605946.0,1517735.0,-0.07,-99.9
06/01/1980,Jun,1980,131679.0,737625.0,1518222.0,0.03,-99.9
07/01/1980,Jul,1980,136250.0,873876.0,1519619.0,0.09,-99.9
08/01/1980,Aug,1980,138666.0,1012541.0,1518343.0,-0.08,-99.9
09/01/1980,Sep,1980,127482.0,1140023.0,1518249.0,-0.01,-99.9
10/01/1980,Oct,1980,132615.0,1272638.0,1519245.0,0.07,-0.76
11/01/1980,Nov,1980,123420.0,1396059.0,1519285.0,0.0,-0.73
12/01/1980,Dec,1980,124798.0,1520856.0,1520856.0,0.1,-0.54
01/01/1981,Jan,1981,116049.0,116049.0,1520443.0,-0.03,-0.71
02/01/1981,Feb,1981,109765.0,225814.0,1522870.0,0.16,-0.4
03/01/1981,Mar,1981,127798.0,353612.0,1525489.0,0.17,0.18
04/01/1981,Apr,1981,128465.0,482077.0,1528256.0,0.18,0.62
05/01/1981,May,1981,134305.0,616382.0,1531292.0,0.2,0.89
06/01/1981,Jun,1981,135545.0,751927.0,1535158.0,0.25,1.12
07/01/1981,Jul,1981,141253.0,893180.0,1540161.0,0.33,1.35
08/01/1981,Aug,1981,143464.0,1036644.0,1544959.0,0.31,1.75
09/01/1981,Sep,1981,131185.0,1167829.0,1548662.0,0.24,2.0
10/01/1981,Oct,1981,133216.0,1301044.0,1549262.0,0.04,1.98
11/01/1981,Nov,1981,124804.0,1425848.0,1550646.0,0.09,2.06
12/01/1981,Dec,1981,124421.0,1550269.0,1550269.0,-0.02,1.93
01/01/1982,Jan,1982,109757.0,109757.0,1543978.0,-0.41,1.55
02/01/1982,Feb,1982,107512.0,217269.0,1541724.0,-0.15,1.24
03/01/1982,Mar,1982,128182.0,345451.0,1542108.0,0.02,1.09
04/01/1982,Apr,1982,129845.0,475296.0,1543488.0,0.09,1.0
05/01/1982,May,1982,140283.0,615579.0,1549466.0,0.39,1.19
06/01/1982,Jun,1982,142111.0,757690.0,1556032.0,0.42,1.36
07/01/1982,Jul,1982,152200.0,909890.0,1566979.0,0.7,1.74
08/01/1982,Aug,1982,153300.0,1063190.0,1576815.0,0.63,2.06
09/01/1982,Sep,1982,136311.0,1199501.0,1581942.0,0.33,2.15
10/01/1982,Oct,1982,138780.0,1338281.0,1587506.0,0.35,2.47
11/01/1982,Nov,1982,127061.0,1465342.0,1589763.0,0.14,2.52
12/01/1982,Dec,1982,127139.0,1592481.0,1592481.0,0.17,2.72
01/01/1983,Jan,1983,119436.0,119436.0,1602159.0,0.61,3.77
02/01/1983,Feb,1983,111828.0,231263.0,1606475.0,0.27,4.2
03/01/1983,Mar,1983,132814.0,364078.0,1611107.0,0.29,4.47
04/01/1983,Apr,1983,132741.0,496819.0,1614003.0,0.18,4.57
05/01/1983,May,1983,143619.0,640438.0,1617340.0,0.21,4.38
06/01/1983,Jun,1983,146738.0,787177.0,1621968.0,0.29,4.24
07/01/1983,Jul,1983,156823.0,944000.0,1626591.0,0.29,3.8
08/01/1983,Aug,1983,157649.0,1101649.0,1630940.0,0.27,3.43
09/01/1983,Sep,1983,139938.0,1241588.0,1634567.0,0.22,3.33
10/01/1983,Oct,1983,144044.0,1385632.0,1639831.0,0.32,3.3
11/01/1983,Nov,1983,133700.0,1519332.0,1646470.0,0.4,3.57
12/01/1983,Dec,1983,129776.0,1649108.0,1649108.0,0.16,3.56
01/01/1984,Jan,1984,122529.0,122529.0,1652201.0,0.19,3.12
02/01/1984,Feb,1984,117483.0,240013.0,1657857.0,0.34,3.2
03/01/1984,Mar,1984,137307.0,377319.0,1662349.0,0.27,3.18
04/01/1984,Apr,1984,141327.0,518647.0,1670936.0,0.52,3.53
05/01/1984,May,1984,151046.0,669693.0,1678363.0,0.44,3.77
06/01/1984,Jun,1984,153403.0,823096.0,1685027.0,0.4,3.89
07/01/1984,Jul,1984,161702.0,984798.0,1689906.0,0.29,3.89
08/01/1984,Aug,1984,164920.0,1149718.0,1697177.0,0.43,4.06
09/01/1984,Sep,1984,146074.0,1295792.0,1703312.0,0.36,4.21
10/01/1984,Oct,1984,147610.0,1443403.0,1706878.0,0.21,4.09
11/01/1984,Nov,1984,137272.0,1580675.0,1710451.0,0.21,3.89
12/01/1984,Dec,1984,136095.0,1716770.0,1716770.0,0.37,4.1
01/01/1985,Jan,1985,124122.0,124122.0,1718362.0,0.09,4.0
02/01/1985,Feb,1985,119367.0,243488.0,1720246.0,0.11,3.76
03/01/1985,Mar,1985,144424.0,387912.0,1727363.0,0.41,3.91
04/01/1985,Apr,1985,147635.0,535547.0,1733671.0,0.37,3.75
05/01/1985,May,1985,156726.0,692273.0,1739350.0,0.33,3.63
06/01/1985,Jun,1985,158703.0,850976.0,1744650.0,0.3,3.54
07/01/1985,Jul,1985,166881.0,1017858.0,1749830.0,0.3,3.55
08/01/1985,Aug,1985,169437.0,1187295.0,1754347.0,0.26,3.37
09/01/1985,Sep,1985,150424.0,1337720.0,1758697.0,0.25,3.25
10/01/1985,Oct,1985,154587.0,1492306.0,1765674.0,0.4,3.44
11/01/1985,Nov,1985,140872.0,1633179.0,1769274.0,0.2,3.44
12/01/1985,Dec,1985,141584.0,1774763.0,1774763.0,0.31,3.38
01/01/1986,Jan,1986,132998.0,132998.0,1783639.0,0.5,3.8
02/01/1986,Feb,1986,123526.0,256524.0,1787798.0,0.23,3.93
03/01/1986,Mar,1986,151183.0,407707.0,1794558.0,0.38,3.89
04/01/1986,Apr,1986,150277.0,557984.0,1797200.0,0.15,3.66
05/01/1986,May,1986,160459.0,718443.0,1800933.0,0.21,3.54
06/01/1986,Jun,1986,162370.0,880813.0,1804600.0,0.2,3.44
07/01/1986,Jul,1986,171114.0,1051927.0,1808832.0,0.23,3.37
08/01/1986,Aug,1986,173977.0,1225904.0,1813371.0,0.25,3.36
09/01/1986,Sep,1986,155462.0,1381366.0,1818409.0,0.28,3.4
10/01/1986,Oct,1986,159434.0,1540799.0,1823255.0,0.27,3.26
11/01/1986,Nov,1986,147813.0,1688612.0,1830196.0,0.38,3.44
12/01/1986,Dec,1986,149628.0,1838240.0,1838240.0,0.44,3.58
01/01/1987,Jan,1987,139918.0,139918.0,1845160.0,0.38,3.45
02/01/1987,Feb,1987,135996.0,275914.0,1857631.0,0.68,3.91
03/01/1987,Mar,1987,157573.0,433488.0,1864021.0,0.34,3.87
04/01/1987,Apr,1987,159801.0,593289.0,1873545.0,0.51,4.25
05/01/1987,May,1987,167776.0,761065.0,1880862.0,0.39,4.44
06/01/1987,Jun,1987,167826.0,928892.0,1886319.0,0.29,4.53
07/01/1987,Jul,1987,175783.0,1104674.0,1890987.0,0.25,4.54
08/01/1987,Aug,1987,177378.0,1282053.0,1894389.0,0.18,4.47
09/01/1987,Sep,1987,164184.0,1446236.0,1903111.0,0.46,4.66
10/01/1987,Oct,1987,166836.0,1613072.0,1910513.0,0.39,4.79
11/01/1987,Nov,1987,155676.0,1768748.0,1918376.0,0.41,4.82
12/01/1987,Dec,1987,155580.0,1924328.0,1924328.0,0.31,4.68
01/01/1988,Jan,1988,148879.0,148879.0,1933289.0,0.47,4.78
02/01/1988,Feb,1988,141748.0,290627.0,1939041.0,0.3,4.38
03/01/1988,Mar,1988,167836.0,458463.0,1949303.0,0.53,4.58
04/01/1988,Apr,1988,166804.0,625267.0,1956306.0,0.36,4.42
05/01/1988,May,1988,178042.0,803309.0,1966572.0,0.52,4.56
06/01/1988,Jun,1988,178690.0,981999.0,1977435.0,0.55,4.83
07/01/1988,Jul,1988,184779.0,1166778.0,1986431.0,0.45,5.05
08/01/1988,Aug,1988,184503.0,1351281.0,1993556.0,0.36,5.23
09/01/1988,Sep,1988,171072.0,1522352.0,2000444.0,0.35,5.11
10/01/1988,Oct,1988,175478.0,1697830.0,2009086.0,0.43,5.16
11/01/1988,Nov,1988,162957.0,1860788.0,2016367.0,0.36,5.11
12/01/1988,Dec,1988,164798.0,2025586.0,2025586.0,0.46,5.26
01/01/1989,Jan,1989,159750.0,159750.0,2036457.0,0.54,5.34
02/01/1989,Feb,1989,146732.0,306482.0,2041441.0,0.24,5.28
03/01/1989,Mar,1989,174990.0,481473.0,2048595.0,0.35,5.09
04/01/1989,Apr,1989,174320.0,655793.0,2056112.0,0.37,5.1
05/01/1989,May,1989,184823.0,840616.0,2062893.0,0.33,4.9
06/01/1989,Jun,1989,184094.0,1024710.0,2068297.0,0.26,4.59
07/01/1989,Jul,1989,190985.0,1215695.0,2074503.0,0.3,4.43
08/01/1989,Aug,1989,194172.0,1409867.0,2084172.0,0.47,4.55
09/01/1989,Sep,1989,177326.0,1587193.0,2090426.0,0.3,4.5
10/01/1989,Oct,1989,182583.0,1769776.0,2097531.0,0.34,4.4
11/01/1989,Nov,1989,169735.0,1939510.0,2104309.0,0.32,4.36
12/01/1989,Dec,1989,167530.0,2107040.0,2107040.0,0.13,4.02
01/01/1990,Jan,1990,163600.0,163600.0,2110889.0,0.18,3.65
02/01/1990,Feb,1990,153559.0,317159.0,2117716.0,0.32,3.74
03/01/1990,Mar,1990,178771.0,495930.0,2121497.0,0.18,3.56
04/01/1990,Apr,1990,179033.0,674963.0,2126210.0,0.22,3.41
05/01/1990,May,1990,189247.0,864210.0,2130634.0,0.21,3.28
06/01/1990,Jun,1990,189529.0,1053740.0,2136069.0,0.26,3.28
07/01/1990,Jul,1990,195470.0,1249210.0,2140555.0,0.21,3.18
08/01/1990,Aug,1990,197057.0,1446267.0,2143440.0,0.13,2.84
09/01/1990,Sep,1990,178415.0,1624682.0,2144530.0,0.05,2.59
10/01/1990,Oct,1990,182634.0,1807316.0,2144580.0,0.0,2.24
11/01/1990,Nov,1990,171565.0,1978880.0,2146410.0,0.09,2.0
12/01/1990,Dec,1990,168621.0,2147501.0,2147501.0,0.05,1.92
01/01/1991,Jan,1991,157889.0,157889.0,2141790.0,-0.27,1.46
02/01/1991,Feb,1991,153351.0,311240.0,2141582.0,-0.01,1.13
03/01/1991,Mar,1991,179076.0,490316.0,2141887.0,0.01,0.96
04/01/1991,Apr,1991,179538.0,669854.0,2142392.0,0.02,0.76
05/01/1991,May,1991,191929.0,861783.0,2145074.0,0.13,0.68
06/01/1991,Jun,1991,193467.0,1055250.0,2149011.0,0.18,0.61
07/01/1991,Jul,1991,198387.0,1253637.0,2151928.0,0.14,0.53
08/01/1991,Aug,1991,204063.0,1457700.0,2158934.0,0.33,0.72
09/01/1991,Sep,1991,183594.0,1641294.0,2164112.0,0.24,0.91
10/01/1991,Oct,1991,188445.0,1829739.0,2169924.0,0.27,1.18
11/01/1991,Nov,1991,169693.0,1999432.0,2168052.0,-0.09,1.01
12/01/1991,Dec,1991,172782.0,2172214.0,2172214.0,0.19,1.15
01/01/1992,Jan,1992,167652.0,167652.0,2181977.0,0.45,1.88
02/01/1992,Feb,1992,160204.0,327856.0,2188830.0,0.31,2.21
03/01/1992,Mar,1992,183778.0,511634.0,2193532.0,0.21,2.41
04/01/1992,Apr,1992,186069.0,697702.0,2200062.0,0.3,2.69
05/01/1992,May,1992,196725.0,894428.0,2204858.0,0.22,2.79
06/01/1992,Jun,1992,197232.0,1091660.0,2208624.0,0.17,2.77
07/01/1992,Jul,1992,206616.0,1298275.0,2216853.0,0.37,3.02
08/01/1992,Aug,1992,204753.0,1503029.0,2217543.0,0.03,2.71
09/01/1992,Sep,1992,190908.0,1693936.0,2224857.0,0.33,2.81
10/01/1992,Oct,1992,194836.0,1888773.0,2231248.0,0.29,2.83
11/01/1992,Nov,1992,177380.0,2066153.0,2238935.0,0.34,3.27
12/01/1992,Dec,1992,180999.0,2247152.0,2247152.0,0.37,3.45
01/01/1993,Jan,1993,171680.0,171680.0,2251180.0,0.18,3.17
02/01/1993,Feb,1993,162844.0,334524.0,2253820.0,0.12,2.97
03/01/1993,Mar,1993,187869.0,522393.0,2257911.0,0.18,2.93
04/01/1993,Apr,1993,188737.0,711130.0,2260579.0,0.12,2.75
05/01/1993,May,1993,205981.0,917111.0,2269835.0,0.41,2.95
06/01/1993,Jun,1993,199414.0,1116525.0,2272018.0,0.1,2.87
07/01/1993,Jul,1993,209838.0,1326364.0,2275240.0,0.14,2.63
08/01/1993,Aug,1993,209634.0,1535998.0,2280121.0,0.21,2.82
09/01/1993,Sep,1993,193765.0,1729762.0,2282978.0,0.13,2.61
10/01/1993,Oct,1993,197793.0,1927555.0,2285934.0,0.13,2.45
11/01/1993,Nov,1993,182322.0,2109876.0,2290875.0,0.22,2.32
12/01/1993,Dec,1993,186828.0,2296705.0,2296705.0,0.25,2.21
01/01/1994,Jan,1994,169314.0,169314.0,2294338.0,-0.1,1.92
02/01/1994,Feb,1994,166444.0,335758.0,2297939.0,0.16,1.96
03/01/1994,Mar,1994,196190.0,531948.0,2306260.0,0.36,2.14
04/01/1994,Apr,1994,195407.0,727355.0,2312930.0,0.29,2.32
05/01/1994,May,1994,206594.0,933949.0,2313543.0,0.03,1.93
06/01/1994,Jun,1994,207280.0,1141229.0,2321409.0,0.34,2.17
07/01/1994,Jul,1994,214778.0,1356007.0,2326348.0,0.21,2.25
08/01/1994,Aug,1994,215045.0,1571053.0,2331760.0,0.23,2.26
09/01/1994,Sep,1994,200511.0,1771563.0,2338506.0,0.29,2.43
10/01/1994,Oct,1994,202864.0,1974427.0,2343576.0,0.22,2.52
11/01/1994,Nov,1994,190074.0,2164501.0,2351329.0,0.33,2.64
12/01/1994,Dec,1994,193087.0,2357587.0,2357587.0,0.27,2.65
01/01/1995,Jan,1995,193838.0,193838.0,2382111.0,1.04,3.83
02/01/1995,Feb,1995,171053.0,364891.0,2386720.0,0.19,3.86
03/01/1995,Mar,1995,201227.0,566118.0,2391757.0,0.21,3.71
04/01/1995,Apr,1995,198213.0,764330.0,2394562.0,0.12,3.53
05/01/1995,May,1995,212586.0,976916.0,2400555.0,0.25,3.76
06/01/1995,Jun,1995,211370.0,1188287.0,2404645.0,0.17,3.59
07/01/1995,Jul,1995,217188.0,1405475.0,2407055.0,0.1,3.47
08/01/1995,Aug,1995,219216.0,1624692.0,2411226.0,0.17,3.41
09/01/1995,Sep,1995,203866.0,1828558.0,2414582.0,0.14,3.25
10/01/1995,Oct,1995,206745.0,2035303.0,2418464.0,0.16,3.2
11/01/1995,Nov,1995,194131.0,2229434.0,2422521.0,0.17,3.03
12/01/1995,Dec,1995,193341.0,2422776.0,2422776.0,0.01,2.77
01/01/1996,Jan,1996,183465.0,183465.0,2412403.0,-0.43,1.27
02/01/1996,Feb,1996,176562.0,360027.0,2417911.0,0.23,1.31
03/01/1996,Mar,1996,204172.0,564198.0,2420856.0,0.12,1.22
04/01/1996,Apr,1996,205253.0,769452.0,2427897.0,0.29,1.39
05/01/1996,May,1996,218676.0,988128.0,2433987.0,0.25,1.39
06/01/1996,Jun,1996,215551.0,1203679.0,2438167.0,0.17,1.39
07/01/1996,Jul,1996,225109.0,1428788.0,2446088.0,0.32,1.62
08/01/1996,Aug,1996,229050.0,1657838.0,2455922.0,0.4,1.85
09/01/1996,Sep,1996,207604.0,1865442.0,2459660.0,0.15,1.87
10/01/1996,Oct,1996,215654.0,2081096.0,2468568.0,0.36,2.07
11/01/1996,Nov,1996,199643.0,2280740.0,2474081.0,0.22,2.13
12/01/1996,Dec,1996,201462.0,2482201.0,2482201.0,0.33,2.45
01/01/1997,Jan,1997,190126.0,190126.0,2488862.0,0.27,3.17
02/01/1997,Feb,1997,183950.0,374076.0,2496251.0,0.3,3.24
03/01/1997,Mar,1997,211952.0,586028.0,2504031.0,0.31,3.44
04/01/1997,Apr,1997,211290.0,797319.0,2510068.0,0.24,3.38
05/01/1997,May,1997,226082.0,1023401.0,2517474.0,0.3,3.43
06/01/1997,Jun,1997,222254.0,1245655.0,2524178.0,0.27,3.53
07/01/1997,Jul,1997,236713.0,1482368.0,2535782.0,0.46,3.67
08/01/1997,Aug,1997,233496.0,1715864.0,2540227.0,0.18,3.43
09/01/1997,Sep,1997,213547.0,1929411.0,2546170.0,0.23,3.52
10/01/1997,Oct,1997,221219.0,2150629.0,2551735.0,0.22,3.37
11/01/1997,Nov,1997,202422.0,2353051.0,2554513.0,0.11,3.25
12/01/1997,Dec,1997,207322.0,2560373.0,2560373.0,0.23,3.15
01/01/1998,Jan,1998,196870.0,196870.0,2567117.0,0.26,3.14
02/01/1998,Feb,1998,187167.0,384037.0,2570334.0,0.13,2.97
03/01/1998,Mar,1998,214222.0,598259.0,2572603.0,0.09,2.74
04/01/1998,Apr,1998,217921.0,816180.0,2579234.0,0.26,2.76
05/01/1998,May,1998,227899.0,1044079.0,2581051.0,0.07,2.53
06/01/1998,Jun,1998,228733.0,1272811.0,2587529.0,0.25,2.51
07/01/1998,Jul,1998,239944.0,1512756.0,2590760.0,0.12,2.17
08/01/1998,Aug,1998,237143.0,1749898.0,2594407.0,0.14,2.13
